positive,negative,neutral,compound,overall
0.166,0.054,0.781,0.8016,Positive
0.253,0.062,0.686,0.9721,Positive
0.109,0.0,0.891,0.6597,Positive
0.079,0.085,0.836,-0.2305,Negative
0.145,0.038,0.817,0.7311,Positive
0.115,0.035,0.851,0.6214,Positive
0.216,0.059,0.725,0.9315,Positive
0.379,0.064,0.556,0.9661,Positive
0.263,0.046,0.691,0.9627,Positive
0.227,0.051,0.721,0.9208,Positive
0.242,0.068,0.689,0.969,Positive
0.217,0.092,0.69,0.7178,Positive
0.341,0.036,0.622,0.9589,Positive
0.376,0.067,0.557,0.9306,Positive
0.347,0.015,0.639,0.9751,Positive
0.0,0.163,0.837,-0.569,Negative
0.19,0.351,0.46,-0.4215,Negative
0.097,0.215,0.688,-0.9028,Negative
0.014,0.142,0.844,-0.9768,Negative
0.037,0.104,0.859,-0.9038,Negative
0.11,0.0,0.89,0.4754,Positive
0.052,0.103,0.844,-0.4512,Negative
0.029,0.101,0.87,-0.9184,Negative
0.161,0.0,0.839,0.8947,Positive
0.149,0.044,0.807,0.9774,Positive
0.124,0.137,0.739,-0.0987,Negative
0.613,0.138,0.25,0.8225,Positive
0.23,0.071,0.698,0.73,Positive
0.528,0.0,0.472,0.9389,Positive
0.032,0.191,0.776,-0.953,Negative
0.19,0.019,0.791,0.9663,Positive
0.274,0.215,0.511,0.4404,Positive
0.038,0.097,0.865,-0.5581,Negative
0.047,0.108,0.846,-0.8244,Negative
0.039,0.079,0.882,-0.437,Negative
0.248,0.226,0.525,0.1098,Positive
0.297,0.0,0.703,0.9599,Positive
0.318,0.0,0.682,0.9645,Positive
0.227,0.0,0.773,0.9423,Positive
0.263,0.043,0.694,0.9325,Positive
0.212,0.0,0.788,0.9693,Positive
0.28,0.0,0.72,0.9117,Positive
0.329,0.042,0.629,0.8991,Positive
0.0,0.0,0.0,0.0,Negative
0.259,0.069,0.672,0.9039,Positive
0.614,0.0,0.386,0.7479,Positive
0.606,0.0,0.394,0.7316,Positive
0.482,0.0,0.518,0.932,Positive
0.0,0.281,0.719,-0.6677,Negative
0.342,0.05,0.608,0.9538,Positive
0.34,0.072,0.588,0.9375,Positive
0.21,0.026,0.763,0.9952,Positive
0.167,0.077,0.756,0.6232,Positive
0.194,0.166,0.64,-0.1298,Negative
0.249,0.034,0.717,0.8549,Positive
0.299,0.179,0.522,0.9089,Positive
0.223,0.101,0.675,0.89,Positive
0.233,0.154,0.613,0.5413,Positive
0.171,0.056,0.773,0.8442,Positive
0.375,0.0,0.625,0.8316,Positive
0.1,0.055,0.845,0.6003,Positive
0.123,0.061,0.816,0.9557,Positive
0.048,0.125,0.827,-0.975,Negative
0.27,0.081,0.648,0.9927,Positive
0.456,0.0,0.544,0.9645,Positive
0.0,0.07,0.93,-0.5267,Negative
0.057,0.102,0.842,-0.7007,Negative
0.23,0.0,0.77,0.7828,Positive
0.0,0.117,0.883,-0.6249,Negative
0.422,0.0,0.578,0.8591,Positive
0.355,0.0,0.645,0.9214,Positive
0.12,0.165,0.714,-0.296,Negative
0.0,0.366,0.634,-0.8431,Negative
0.083,0.055,0.861,0.092,Positive
0.105,0.044,0.851,0.8849,Positive
0.0,0.0,1.0,0.0,Negative
0.128,0.076,0.796,0.6287,Positive
0.364,0.0,0.636,0.8221,Positive
0.242,0.054,0.703,0.9384,Positive
0.218,0.0,0.782,0.4201,Positive
0.251,0.023,0.726,0.9892,Positive
0.0,0.101,0.899,-0.5719,Negative
0.23,0.195,0.575,0.1494,Positive
0.337,0.0,0.663,0.765,Positive
0.47,0.0,0.53,0.7964,Positive
0.244,0.161,0.595,0.34,Positive
0.388,0.0,0.612,0.9911,Positive
0.277,0.0,0.723,0.9402,Positive
0.267,0.037,0.696,0.8903,Positive
0.437,0.0,0.563,0.968,Positive
0.192,0.0,0.808,0.7506,Positive
0.36,0.0,0.64,0.9496,Positive
0.292,0.0,0.708,0.9079,Positive
0.142,0.055,0.803,0.8958,Positive
0.267,0.0,0.733,0.8982,Positive
0.362,0.0,0.638,0.9099,Positive
0.552,0.0,0.448,0.5709,Positive
0.098,0.084,0.818,0.0772,Positive
0.213,0.0,0.787,0.8479,Positive
0.102,0.062,0.836,0.2551,Positive
0.112,0.0,0.888,0.6461,Positive
0.103,0.0,0.897,0.7269,Positive
0.283,0.057,0.66,0.8625,Positive
0.62,0.0,0.38,0.9538,Positive
0.243,0.024,0.733,0.9754,Positive
0.106,0.0,0.894,0.5859,Positive
0.59,0.0,0.41,0.9103,Positive
0.265,0.071,0.663,0.9001,Positive
0.077,0.054,0.87,0.3182,Positive
0.075,0.087,0.838,-0.2023,Negative
0.076,0.071,0.853,0.1263,Positive
0.167,0.072,0.762,0.9062,Positive
0.219,0.082,0.699,0.9729,Positive
0.188,0.072,0.741,0.8755,Positive
0.369,0.072,0.559,0.9586,Positive
0.129,0.0,0.871,0.769,Positive
0.125,0.121,0.753,-0.117,Negative
0.424,0.052,0.523,0.9799,Positive
0.291,0.045,0.664,0.9098,Positive
0.16,0.094,0.746,0.8017,Positive
0.25,0.071,0.679,0.9393,Positive
0.276,0.0,0.724,0.6369,Positive
0.14,0.077,0.783,0.8674,Positive
0.346,0.0,0.654,0.9416,Positive
0.195,0.059,0.746,0.9406,Positive
0.125,0.0,0.875,0.8519,Positive
0.104,0.068,0.827,0.0675,Positive
0.417,0.0,0.583,0.9531,Positive
0.521,0.0,0.479,0.8225,Positive
0.048,0.098,0.855,-0.2453,Negative
0.243,0.0,0.757,0.8908,Positive
0.349,0.094,0.557,0.9606,Positive
0.336,0.049,0.615,0.9792,Positive
0.233,0.026,0.741,0.9868,Positive
0.083,0.107,0.811,0.1245,Positive
0.253,0.123,0.624,0.8186,Positive
0.201,0.128,0.671,0.455,Positive
0.101,0.206,0.693,-0.8555,Negative
0.677,0.0,0.323,0.8885,Positive
0.107,0.08,0.812,0.7272,Positive
0.324,0.146,0.53,0.6558,Positive
0.227,0.0,0.773,0.6249,Positive
0.307,0.0,0.693,0.7684,Positive
0.0,0.0,1.0,0.0,Negative
0.23,0.0,0.77,0.961,Positive
0.104,0.027,0.869,0.7681,Positive
0.215,0.053,0.731,0.802,Positive
0.19,0.087,0.723,0.6573,Positive
0.0,0.101,0.899,-0.7241,Negative
0.0,0.0,1.0,0.0,Negative
0.329,0.0,0.671,0.6582,Positive
0.143,0.11,0.747,0.128,Positive
0.32,0.0,0.68,0.5106,Positive
0.256,0.0,0.744,0.7351,Positive
0.119,0.0,0.881,0.5222,Positive
0.266,0.0,0.734,0.4404,Positive
0.286,0.0,0.714,0.4215,Positive
0.398,0.0,0.602,0.8908,Positive
0.237,0.047,0.715,0.9798,Positive
0.223,0.0,0.777,0.3167,Positive
0.0,0.0,1.0,0.0,Negative
0.509,0.0,0.491,0.8047,Positive
0.639,0.0,0.361,0.7956,Positive
0.0,0.0,1.0,0.0,Negative
0.0,0.0,1.0,0.0,Negative
0.339,0.0,0.661,0.5563,Positive
0.35,0.0,0.65,0.796,Positive
0.647,0.0,0.353,0.9001,Positive
0.238,0.113,0.649,0.6938,Positive
0.1,0.038,0.862,0.8773,Positive
0.264,0.055,0.681,0.8957,Positive
0.115,0.038,0.847,0.8357,Positive
0.01,0.154,0.836,-0.9794,Negative
0.137,0.106,0.757,0.3269,Positive
0.335,0.0,0.665,0.7942,Positive
0.063,0.064,0.873,-0.0258,Negative
0.301,0.057,0.642,0.9776,Positive
0.233,0.018,0.749,0.9795,Positive
0.0,0.804,0.196,-0.9062,Negative
0.0,0.392,0.608,-0.6997,Negative
0.128,0.123,0.749,0.0276,Negative
0.137,0.076,0.787,0.8704,Positive
0.196,0.0,0.804,0.8316,Positive
0.0,0.163,0.837,-0.3252,Negative
0.173,0.122,0.705,0.7071,Positive
0.16,0.086,0.755,0.934,Positive
0.0,0.085,0.915,-0.8721,Negative
0.196,0.091,0.714,0.9562,Positive
0.108,0.067,0.826,0.5232,Positive
0.15,0.064,0.786,0.5574,Positive
0.078,0.078,0.844,-0.228,Negative
0.089,0.199,0.711,-0.9795,Negative
0.252,0.0,0.748,0.5719,Positive
