positive,negative,neutral,compound,overall
0.272,0.0,0.728,0.8218,Positive
0.207,0.0,0.793,0.9604,Positive
0.129,0.158,0.713,-0.3182,Negative
0.319,0.059,0.622,0.9734,Positive
0.171,0.041,0.788,0.939,Positive
0.132,0.102,0.766,0.0772,Positive
0.065,0.193,0.742,-0.5789,Negative
0.033,0.087,0.88,-0.8805,Negative
0.073,0.057,0.87,0.296,Positive
0.143,0.021,0.836,0.8301,Positive
0.149,0.0,0.851,0.7684,Positive
0.053,0.035,0.912,0.5413,Positive
0.26,0.0,0.74,0.8173,Positive
0.394,0.088,0.518,0.9371,Positive
0.208,0.023,0.769,0.8617,Positive
0.0,0.072,0.928,-0.4939,Negative
0.205,0.022,0.773,0.8981,Positive
0.269,0.239,0.492,0.2018,Positive
0.214,0.0,0.786,0.9401,Positive
0.248,0.0,0.752,0.9834,Positive
0.351,0.0,0.649,0.9801,Positive
0.187,0.089,0.724,0.5994,Positive
0.311,0.0,0.689,0.9757,Positive
0.044,0.061,0.895,-0.2325,Negative
0.39,0.0,0.61,0.4927,Positive
0.188,0.132,0.68,0.6557,Positive
0.0,0.0,1.0,0.0,Negative
0.25,0.03,0.72,0.886,Positive
0.184,0.219,0.597,-0.34,Negative
0.138,0.0,0.862,0.5688,Positive
0.14,0.044,0.816,0.8176,Positive
0.422,0.0,0.578,0.9744,Positive
0.0,0.0,1.0,0.0,Negative
0.171,0.095,0.734,0.3612,Positive
0.242,0.131,0.627,0.5709,Positive
0.13,0.041,0.829,0.891,Positive
0.406,0.15,0.444,0.7569,Positive
0.235,0.0,0.765,0.8519,Positive
0.509,0.0,0.491,0.9835,Positive
0.291,0.0,0.709,0.8111,Positive
0.432,0.0,0.568,0.9432,Positive
0.0,0.16,0.84,-0.743,Negative
0.278,0.0,0.722,0.9592,Positive
0.219,0.0,0.781,0.7893,Positive
0.053,0.278,0.668,-0.9146,Negative
0.183,0.105,0.713,0.5095,Positive
0.0,0.0,1.0,0.0,Negative
0.108,0.051,0.842,0.6037,Positive
0.026,0.117,0.856,-0.8223,Negative
0.311,0.0,0.689,0.969,Positive
0.198,0.0,0.802,0.5719,Positive
0.355,0.0,0.645,0.872,Positive
0.4,0.035,0.565,0.9853,Positive
0.32,0.032,0.648,0.9841,Positive
0.344,0.0,0.656,0.8555,Positive
0.0,0.0,1.0,0.0,Negative
0.296,0.0,0.704,0.6369,Positive
0.66,0.0,0.34,0.8655,Positive
0.026,0.1,0.874,-0.9409,Negative
0.381,0.0,0.619,0.9212,Positive
0.446,0.0,0.554,0.9509,Positive
0.194,0.0,0.806,0.7579,Positive
0.502,0.0,0.498,0.9022,Positive
0.248,0.0,0.752,0.9477,Positive
