Zip,Centroid Latitude,Centroid Longitude
2534,41.6689421,-70.6194072
2535,41.3379606,-70.7616743
75098,33.0121346,-96.5349358
75101,32.270032,-96.7024944
75102,32.0579379,-96.6325473
75103,32.5169296,-95.8835471
75104,32.5848142,-96.9723118
75105,32.2630103,-96.3876628
75109,32.0427838,-96.343754
75110,32.0846136,-96.5277676
75114,32.6105754,-96.4442563
75115,32.5994271,-96.8640746
75116,32.6606604,-96.9118821
75117,32.7150128,-95.8544608
75119,32.3269495,-96.5895385
75124,32.326026,-95.9740558
75125,32.5366996,-96.6217469
75126,32.7426013,-96.4528828
75127,32.6902949,-95.789932
75132,32.9457476,-96.3738828
75134,32.617663,-96.7780575
75135,33.0663446,-96.2214374
48472,43.5123231,-82.9632121
48473,42.9370622,-83.8204538
42025,36.8569236,-88.3347141
48475,43.6731558,-82.9479871
48476,42.9387067,-84.0300499
48502,43.0137267,-83.6883757
42027,36.9166709,-88.6276857
42028,37.2389129,-88.3368499
42029,37.0064721,-88.3919601
48503,42.9999143,-83.7088865
42031,36.6857478,-88.9913973
42032,36.7758047,-89.1080665
42035,36.9002256,-88.840382
42036,36.711521,-88.2145438
42037,37.1727808,-88.1877067
48504,43.0547248,-83.7437448
42038,37.0474135,-88.0276468
42039,36.7887093,-88.8254336
42040,36.6252956,-88.4970733
42041,36.5503732,-88.8773521
48505,43.0703107,-83.6861174
29324,34.9836812,-81.8266035
29325,34.4682056,-81.8451835
27030,36.4898143,-80.6292139
27040,36.1693118,-80.3930448
27041,36.4252534,-80.4871973
27042,36.352819,-80.0642026
27043,36.3345944,-80.4517305
27045,36.2343984,-80.2960701
27046,36.5022187,-80.0782643
27047,36.3141343,-80.5691122
27048,36.4825144,-79.9176781
27050,36.2264423,-80.4097074
27051,36.1959449,-80.1534014
27052,36.320755,-80.1504527
27053,36.474276,-80.3478503
27054,35.7925404,-80.5978879
27055,36.1139068,-80.6311936
27101,36.1108495,-80.2004303
27103,36.0582299,-80.3214959
27104,36.0936873,-80.323532
27105,36.1633767,-80.2337873
27106,36.1439097,-80.3231573
27107,36.0131579,-80.1754914
27109,36.1339532,-80.2776385
27110,36.0892596,-80.2249598
27127,36.0207083,-80.2798166
43469,41.4603686,-83.3645499
43501,41.672655,-84.461796
43502,41.5345544,-84.2937871
43504,41.695779,-83.836766
43505,41.5239422,-84.7312727
43506,41.4662106,-84.5571335
43511,41.2625594,-83.8147261
43512,41.3033782,-84.3582793
43515,41.585401,-84.0083342
43516,41.2149032,-83.9152423
43517,41.4339468,-84.7285498
43518,41.5964884,-84.7577482
43519,41.4194651,-84.4068724
43521,41.6604894,-84.2979938
43522,41.42031,-83.832402
43523,41.3370649,-83.9892543
43524,41.2270589,-84.0385107
43525,41.4665824,-83.7044501
43526,41.3128056,-84.7253089
43527,41.2461091,-84.1575024
43528,41.6288552,-83.7495751
97884,44.4553406,-118.2222353
97885,45.6556568,-117.51175
97886,45.8023079,-118.2724104
97901,43.6214451,-117.1072752
97903,44.2469148,-117.6456167
97904,43.8861787,-118.5229286
97905,44.57382,-117.4595124
97906,43.5370386,-117.7746785
97907,44.4195014,-117.345514
97908,44.3123779,-117.9278861
97909,44.2465125,-117.4189859
97911,43.7364817,-118.0413879
97914,44.1136188,-117.0841615
97918,44.0371142,-117.3510723
97920,44.0721806,-117.8542824
71944,34.2428242,-94.3327689
73118,35.5179676,-97.5287181
71945,34.4851525,-94.339565
73119,35.422007,-97.5661255
71949,34.6990852,-93.2207979
71950,34.2561582,-93.7180631
71952,34.280872,-93.8845327
73120,35.5813161,-97.5736742
73121,35.5205166,-97.4395273
73122,35.520484,-97.6134401
73127,35.4774218,-97.6531944
73128,35.4584819,-97.6623814
73129,35.4314777,-97.4842815
71953,34.6080155,-94.197193
73130,35.458652,-97.3455862
73131,35.5764578,-97.469294
71956,34.5986356,-93.1534376
73132,35.5534001,-97.6333255
73134,35.6142175,-97.5683128
71957,34.5650238,-93.5747012
73135,35.4002683,-97.4330755
73139,35.3863767,-97.5256886
71958,34.1233523,-93.6646132
73141,35.519962,-97.3944747
71959,34.2431655,-93.9315844
73142,35.6164315,-97.6454346
94133,37.8045315,-122.410852
94134,37.7210461,-122.4135554
94158,37.769893,-122.3870114
94301,37.444131,-122.1499165
94303,37.4578826,-122.1150968
94304,37.3747017,-122.1816956
94305,37.4182561,-122.1708709
94306,37.4157026,-122.1307715
94401,37.5769477,-122.3169034
94402,37.523602,-122.3449203
94403,37.5384494,-122.305447
94404,37.5559985,-122.2676793
94501,37.773793,-122.2781151
94502,37.7375733,-122.2455205
94503,38.1861677,-122.2635651
94505,37.8712683,-121.596984
94506,37.8096292,-121.9132414
94507,37.8504159,-122.0210973
42440,37.2407057,-87.4646055
48801,43.3741008,-84.6775418
42441,37.3626476,-87.6685288
39563,30.4217495,-88.5230818
48806,43.1868911,-84.500161
42442,37.1671029,-87.4883932
48807,43.1504763,-84.4020062
48808,42.8288357,-84.4447756
48809,43.0752987,-85.2579615
42445,37.1333391,-87.8517396
39564,30.4047703,-88.7712286
48811,43.181346,-84.8536167
42450,37.3958701,-87.7634021
39565,30.5870947,-88.7444625
42451,37.8845326,-87.3907071
42452,37.6865115,-87.5316717
42453,37.157856,-87.5907124
39567,30.2227146,-88.5136467
48813,42.5797748,-84.8458912
42455,37.5933753,-87.542551
48815,42.8343711,-85.2585846
48816,42.765009,-83.9559809
42456,37.5077055,-87.4960966
42458,37.8395629,-87.4209423
48817,43.0139493,-84.0428844
48818,43.2726929,-84.8903324
42459,37.5668063,-88.0190479
95834,38.6352119,-121.5186075
95835,38.6706486,-121.5259826
95837,38.693765,-121.5989406
95838,38.6457235,-121.4452544
95841,38.6603703,-121.3473936
95842,38.6867807,-121.3491664
95843,38.7154633,-121.363422
95864,38.5840466,-121.3758456
95901,39.2239387,-121.4940499
95903,39.1060986,-121.3681796
95910,39.4911263,-120.8172323
95912,39.0167022,-122.0621433
95914,39.446837,-121.370432
95915,40.049937,-121.3115424
37351,35.1002851,-85.2603629
37352,35.2775203,-86.3530268
33597,28.5455315,-82.0805317
37353,35.1150099,-84.9890965
33598,27.6934231,-82.2846591
37354,35.5063455,-84.3474102
33602,27.9535304,-82.4571128
33603,27.9856178,-82.4644389
37355,35.4997867,-86.0838331
33604,28.0171543,-82.4553503
37356,35.2288775,-85.823694
37357,35.5852879,-85.91734
37359,35.2042001,-86.4128769
37360,35.4375776,-86.2543283
37361,35.1014711,-84.6866446
53526,42.9740968,-90.3436433
61842,40.2387744,-88.66522
53527,43.0513571,-89.1922572
61843,40.3172413,-88.3739027
53528,43.1183001,-89.6380136
53529,43.242558,-89.5146905
61844,40.1429666,-87.8692075
61845,40.3736206,-88.3968137
53530,42.6938294,-90.1058843
61846,39.9772517,-87.6075376
53531,43.0621883,-89.1024269
61847,40.3192929,-88.0112592
61848,40.3080604,-87.7027714
61849,40.0142263,-87.9673702
61850,39.9310081,-87.7385813
61851,39.9608198,-88.4347242
53532,43.2496825,-89.3266909
61852,39.9031522,-88.0757988
61853,40.2150585,-88.4211751
53533,42.9968204,-90.1623244
61854,40.1998724,-88.5293281
61855,39.9221249,-88.6608692
53534,42.8608232,-89.0933096
61856,40.0267619,-88.5801176
61857,40.1165745,-87.8422213
53536,42.7612331,-89.2678618
2536,41.5962951,-70.5674709
2537,41.7284214,-70.4358105
2538,41.7773771,-70.6424479
